name,homeurl,domain,country
aalmiakhabar,https://aalmiakhbar.com/,general,ind
alhailmedia,http://www.alhilalmedia.com/,general,ind
alhayatindia,https://www.alhayatindia.com/,general,ind
asiaexpress,http://asiaexpress.co.in/,general,ind
baseeratonline,https://www.baseeratonline.com/,general,ind
dailyaag,http://dailyaag.com/phase2/,general,ind
dailyaftab,http://www.dailyaftab.com/,general,ind
dailyausaf,https://dailyausaf.com/,general,ind
dailysalar,https://www.dailysalar.com/,general,ind
dailyudaan,https://www.dailyudaan.com/,general,ind
dawatnews,https://dawatnews.net/,general,ind
etemadaddaily,https://www.etemaaddaily.com/,general,ind
harpalonline,https://harpalonline.com/,general,ind
hindnews,https://hindnews.co.in/,general,ind
hindsamachar,https://www.hindsamachar.in/,general,ind
hindustanurdutimes,https://hindustanurdutimes.com/,general,ind
inquilab,https://www.inquilab.com/,general,ind
jadidkhabar,http://www.jadidkhabar.com/,general,ind
kashmiruzma,www.kashmiruzma.net,general,ind
kawishejameel,http://kawishejameel.com/,general,ind
nayanazriya,http://nayanazariya.com/,general,ind
news18,https://urdu.news18.com/,general,ind
newsonair,http://newsonair.com/urdu/,general,ind
quamiawaz,https://www.qaumiawaz.com/,general,ind
roznamasahara,http://www.roznamasahara.com/,general,ind
sachkiawaaz,http://sachkiawaz.com/,general,ind
sahilonline,http://www.sahilonline.net/ur,general,ind
siasat,https://urdu.siasat.com/,general,ind
starnewsurdu,https://urdu.starnews.today/,general,ind
taasir,https://taasir.com/,general,ind
tameelirshaad,https://tameelirshad.net/,general,ind
tameernews,https://www.taemeernews.com/,general,ind
thewireurdu,http://thewireurdu.com/,general,ind
trtneturdu,https://www.trt.net.tr/urdu/,general,ind
uniurdu,http://www.uniurdu.com/,general,ind
urdumilaatimes,https://urdu.millattimes.com/,general,ind
urdunews,https://www.urdunews.com,general,ind
urdusiasat,https://urdu.siasat.com/,general,ind
urdutahzeb,https://urdutahzeeb.com/,general,ind
